viewCount,likeCount,dislikeCount,favoriteCount,commentCount
261791,7373,315,261791,345
13010,1702,8,13010,560
215585730,1152727,92193,215585730,97927
1127390,14197,1193,1127390,1476
284645,2125,43,284645,130
3818909,81918,1111,3818909,5682
5018478,14617,1806,5018478,1819
11195,84,23,11195,10
21276761,309567,3042,21276761,15969
5534746,102954,2516,5534746,2814
2131371,12458,609,2131371,1826
671599,44948,2091,671599,5565
18608207,170739,7268,18608207,5682
30179277,270504,9940,30179277,10691
8464410,147088,4537,8464410,6585
51462565,420664,16744,51462565,11419
30518646,169482,9455,30518646,3764
20784463,140190,5589,20784463,6343
15735,164,50,15735,146
11638122,194788,3684,11638122,3362
10121625,34945,5255,10121625,876
375628981,922268,85522,375628981,42890
23104119,370414,18770,23104119,33864
13257739,214125,2853,13257739,3349
100041104,887560,44003,100041104,30339
2574736,22540,374,2574736,2227
5668800,8523,464,5668800,391
919537,10532,807,919537,2668
16648501,125842,6743,16648501,4885
23707,738,5,23707,120
1107802,11782,328,1107802,335
67301759,1006965,46685,67301759,58005
8411161,68136,1488,8411161,5041
6011662,26783,6628,6011662,10445
67955140,787416,54848,67955140,42890
3632971,89059,4400,3632971,9839
117686,8411,290,117686,393
52759931,474858,27842,52759931,14228
8996085,34364,1488,8996085,3078
151365,2850,36,151365,7
82233499,495047,29344,82233499,14135
8290620,28166,643,8290620,1866
14356,83,6,14356,9
661150,21093,400,661150,3398
286296,3248,109,286296,125
5223476,69233,10157,5223476,4574
237270,16774,200,237270,974
16872809,583153,151612,16872809,65582
3958886,18309,776,3958886,2332
5323092,33967,1198,5323092,1343
7495465,474822,6991,7495465,22325
-1,-1,-1,-1,-1
52759931,474858,27842,52759931,14228
-1,-1,-1,-1,-1
9147,64,1,9147,0
62815,55,23,62815,2
100041104,887560,44003,100041104,30339
18007,426,16,18007,48
17480,12,1,17480,6
897048,4422,576,897048,920
11638122,194788,3684,11638122,3362
67301759,1006965,46685,67301759,58005
237270,16774,200,237270,974
6011662,26783,6628,6011662,10445
5223476,69233,10157,5223476,4574
-1,-1,-1,-1,-1
919537,10532,807,919537,2668
-1,-1,-1,-1,-1
3632971,89059,4400,3632971,9839
91817,1712,52,91817,165
3375998,20585,1062,3375998,1051
313131,939,64,313131,25
5323092,33967,1198,5323092,1343
810303,24538,2915,810303,3766
88864,1448,16,88864,131
29902,69,5,29902,8
239494854,577721,44445,239494854,21301
23104119,370414,18770,23104119,33864
16872809,583153,151612,16872809,65582
14826,196,20,14826,22
318775163,1423559,136554,318775163,166437
73210,1123,40,73210,66
2192921,27761,324,2192921,525
663,30,2,663,0
3958886,18309,776,3958886,2332
15910,46,8,15910,1
3688,4,0,3688,2
29735,69,13,29735,43
5949038,107847,2265,5949038,4081
27821882,114565,5419,27821882,4257
1000481,4220,111,1000481,313
8996085,34364,1488,8996085,3078
179,2,0,179,0
14381,272,27,14381,56
11325863,180813,4150,11325863,9062
31414219,157942,9621,31414219,2654
16501006,394999,4373,16501006,7272
225456,1186,263,225456,92
8034233,126545,5698,8034233,8657
16656,14,3,16656,0
19297171,365698,9096,19297171,15532
1975447,15382,1541,1975447,2923
3878772,25494,807,3878772,1573
18007,426,16,18007,48
702604,12008,188,702604,929
6769061,11154,2529,6769061,891
4587806,24211,1764,4587806,2457
225456,1186,263,225456,92
-1,-1,-1,-1,-1
10815812,269933,2507,10815812,9985
23315882,442213,5388,23315882,18961
11843172,60840,2526,11843172,4520
313131,939,64,313131,25
28000989,117394,11839,28000989,3553
16391938,244240,3075,16391938,3315
27508709,345784,6123,27508709,13194
1094584,26395,1202,1094584,820
23762624,262184,5520,23762624,22075
897048,4422,576,897048,920
11384339,228080,1436,11384339,2290
12675352,78922,2339,12675352,3156
88864,1448,16,88864,131
29902,69,5,29902,8
11567793,63877,1474,11567793,1485
31414219,157942,9621,31414219,2654
1029093,8944,327,1029093,590
26779541,302152,12650,26779541,9384
73210,1123,40,73210,66
4663747,42854,2040,4663747,1978
19844008,221285,4173,19844008,9937
1722177,7663,237,1722177,418
21536986,243780,5417,21536986,9219
27001523,154810,7185,27001523,6704
17006646,83522,1961,17006646,3026
8545933,74565,1348,8545933,6170
15910,46,8,15910,1
3280420,8486,2411,3280420,587
15930340,100998,3939,15930340,3972
3688,4,0,3688,2
29735,69,13,29735,43
179,2,0,179,0
21301561,126111,5848,21301561,8735
24923663,74030,5601,24923663,9866
554453,2339,225,554453,211
37999450,257900,8323,37999450,2289
14381,272,27,14381,56
1964900,75064,596,1964900,3282
14333401,106870,2691,14333401,6821
3117889,11033,512,3117889,795
4785783,32766,1118,4785783,3113
16656,14,3,16656,0
16656,14,3,16656,0
64230,770,8,64230,52
17207,147,2,17207,7
1964900,75064,596,1964900,3282
5752033,34263,1078,5752033,2230
1735333,7633,496,1735333,518
6629065,43961,827,6629065,2980
691367,4620,209,691367,748
-1,-1,-1,-1,-1
2961141,18029,980,2961141,1076
22157,85,3,22157,14
1458394,9299,340,1458394,419
3678423,10200,421,3678423,802
140689883,897659,63512,140689883,32018
696432,5256,212,696432,467
1235682,2831,140,1235682,428
1155946,9856,1850,1155946,2359
1413017,12632,195,1413017,1210
68402,172,6,68402,69
134111,22,6,134111,9
907585,2707,464,907585,105
50780,22,3,50780,6
18165693,504361,6772,18165693,24902
2857150,9848,359,2857150,921
13561,306,3,13561,29
-1,-1,-1,-1,-1
15747,19,10,15747,2
257,5,0,257,0
-1,-1,-1,-1,-1
11578712,59321,2682,11578712,10505
139049,85,8,139049,98
21769199,134531,6558,21769199,7012
149979,107,5,149979,7
5558785,47259,1411,5558785,3547
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
4816606,74701,2904,4816606,5593
382845,972,16,382845,36
10070415,278842,2994,10070415,15285
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
1717718,5333,814,1717718,1590
9912,15,2,9912,6
621646,5432,146,621646,207
59262,159,3,59262,8
317734,2562,194,317734,185
197529,10104,83,197529,554
5867893,61342,2100,5867893,3795
445103,13,7,445103,2
-1,-1,-1,-1,-1
2568558,11324,219,2568558,1375
22109542,72656,9819,22109542,8843
824635,822,91,824635,169
17933814,101055,9820,17933814,712
80458,76,51,80458,5
103091,163,61,103091,26
5551698,90551,2775,5551698,28225
